question_num,question_text,response
32,"Якщо Ви стали свідком чи учасником випадку необ’єктивного оцінювання, як був уре",...
32,"Якщо Ви стали свідком чи учасником випадку необ’єктивного оцінювання, як був уре","Ніяк, знання не були переоціненні"
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт",спеціального обладненя
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт",нічого
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт",..
38,"Що, на Вашу думку, слід покращити в матеріально-технічному забезпеченні? Напишіт","Надати у наш корпус софіти, подовжувачі, хоча б щось для тепла в аудиторіях ( бо сидіти 6 пар холодно). Замінити вікна, або хоча б давати кошти на те щоб було чим їх заклеювати. Бо ми це робимо за свої кошти, хоча платимо за навчання. Це повинно бути в обов'язковому порядку для навчання. Без цього неможливо навчати нас нашій дисципліни. Нам і так дуже не дешево обходяться усі матеріали для навчання."
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",завчасне повідомлення важливої інформації
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",...
40,"Що, на Вашу думку, слід покращити в інформаційному та навчально-методичному забе",-
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,...
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,"Більше приділяти уваги основним дисциплінам  по професії,якщо це дизайн одягу то більше приділяти уваги шиттю"
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Більш сучасний підхід до викладавання
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Не додавати предмети які не допоможуть при роботі за спеціальністю.
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,-
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,ніяких
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,-
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,виділити більше годин для предметів які основні в нашій професії
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Об'єктивна кількість завдань з будь-якої дисципліни.
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,Відповідальності з боку деяких викладачів.
50,Які рекомендації для покращення освітньої програми Ви можете запропонувати?,внесення практик на прикладi реального життя i реальноï працi
